id,objet,montant,categorie,procedure,offres_recues,acheteur_nom,titulaire_siret,date,prix_ref_moyen,prix_ref_max,unites_estimees_prix_moyen,unites_estimees_prix_max,suspicion_score,raisons_alerte
20232023F0004800,"Achat de pièces de rechange VL-VU et achat de pièces de rechange et/ou réparations pour camions, tracteurs, débrousailleuses, porte-outils, chargeuses",540000.0,vehicules,Appel d'offres ouvert,,,32662082000240,2023-12-22,30000,120000,18,4,0,
202398748400,Travaux de mise en accessibilité de l'école jules ferry à la montagne: Lot 8 : Revêtements de sols-Peinture-Nettoyage,38814.0,vetements_travail,Procédure adaptée,,,49443293300039,2023-12-22,50,200,776,194,0,
20232023F0008100,Système d'acquisition dynamique pour l'achat de véhicules d'occasion : véhicules particuliers et véhicules légers utilitaires - Marché spécifique n°22,18613.53,vehicules,Appel d'offres ouvert,,,48494055600018,2023-12-22,30000,120000,1,0,0,
20232023F0005900,"Achat de pièces de rechange VL-VU et achat de pièces de rechange et/ou réparations pour camions, tracteurs, débrousailleuses, porte-outils, chargeuses",180000.0,mobilier_bureau,Appel d'offres ouvert,,,88531862600011,2023-12-22,400,2000,450,90,0,
20232023F0005700,"Achat de pièces de rechange VL-VU et achat de pièces de rechange et/ou réparations pour camions, tracteurs, débrousailleuses, porte-outils, chargeuses",16000.0,vehicules,Appel d'offres ouvert,,,51042442700027,2023-12-22,30000,120000,1,0,0,
2023S013000,COLLECTE TRAITEMENT BIODECHETS ALIMENTAIRES ISSUS POINTS DE RESTAURATION DE LA COLLECTIVITE,40000.0,alimentaire_restauration,Procédure adaptée,,,90792793300024,2023-12-22,8,20,5000,2000,0,
249906992,Travaux de rénovation de l'église: Lot 2: Le lot 2 concerne la rénovation des peintures.,24000.0,materiel_construction,Procédure adaptée,3.0,,51414714900017,2023-12-22,500,10000,48,2,0,
2023V23579RT00,V23579RT - FOURNITURE ET LIVRAISON DE FOURNITURES SCOLAIRES ET LOISIRS CREATIFS (HORS PAPIER BLANC D'IMPRESSION ET DE REPROGRAPHIE),1166666.64,imprimantes,Appel d'offres ouvert,,,80458482900027,2023-12-22,800,5000,1458,233,1,"Montant eleve (1,166,667 > seuil 1,000,000)"
202323M005100,FOURNITURE DE VAISSELLE JETABLE,100000.0,mobilier_bureau,Appel d'offres ouvert,,,32796302100040,2023-12-22,400,2000,250,50,0,
2023922500,ACHAT ET LIVRAISON DE FOURNITURES ELECTRIQUES POUR LES LUMINAIRES DES LOCAUX ADMINISTRATIFS ET DU PATRIMOINE RATTACHES AUX DP DE HDSH - OPH  (2 LOTS) ,200000.0,mobilier_bureau,Appel d'offres ouvert,,,30930461605851,2023-12-22,400,2000,500,100,0,
2023SMG07A00,MOBILIERS D HEBERGEMENT POUR SALAVAS,145833.33,mobilier_bureau,Appel d'offres ouvert,,,37852953100030,2023-12-22,400,2000,365,73,0,
2023-130400,Lot no 04 ? Couverture bac acier toiture,53753.11,materiel_construction,Procédure adaptée,,,49963604100018,2023-12-22,500,10000,108,5,0,
2023V3F35904AU00,LOT 4 VIANDE FRAICHE DE PORC SAUCISSERIE,160000.0,alimentaire_restauration,Appel d'offres ouvert,,,33159575100032,2023-12-22,8,20,20000,8000,0,
202323-0023900,ACQUISITION D'UNE LUDOMOBILE,89900.0,telephonie,Procédure adaptée,,,78890516400034,2023-12-22,500,5000,180,18,0,
20232023F0005600,"Achat de pièces de rechange VL-VU et achat de pièces de rechange et/ou réparations pour camions, tracteurs, débrousailleuses, porte-outils, chargeuses",600000.0,vehicules,Appel d'offres ouvert,,,32221367900036,2023-12-22,30000,120000,20,5,0,
2023V23F0070300,FRN ELECT LT3 EP AMPOULES ET ACCESSOIRES,66666.68,eclairage,Appel d'offres ouvert,,,30930461601033,2023-12-22,100,1000,667,67,0,
2023C3F09120AU00,LOT 20 BOISSONS NON ALCOOLISEES,280000.0,materiel_construction,Appel d'offres ouvert,,,38500623400160,2023-12-22,500,10000,560,28,0,
2023SMG07B00,MOBILIERS ET MATERIELS POUR SALAVAS,41666.67,mobilier_bureau,Appel d'offres ouvert,,,37852953100030,2023-12-22,400,2000,104,21,0,
20232023F0007600,"Prestations de chaudronnerie industrielle, de métallerie et réseaux",34630.0,reseau,Procédure adaptée,,,42279704300011,2023-12-22,2000,20000,17,2,0,
249983062,Acquisition de 5 véhicules pour les besoins de la CIVIS.: Lot 2: Acquisition d'automobiles de segment B essence,34861.0,telephonie,Procédure adaptée,5.0,,39958274100027,2023-12-22,500,5000,70,7,0,
2023V3F35920AU00,LOT 20 BOISSONS NON ALCOOLISEES,260000.0,materiel_construction,Appel d'offres ouvert,,,38500623400160,2023-12-22,500,10000,520,26,0,
202420240300,FRUITS ET LEGUMES 01032024 AU 28022026,50000.0,alimentaire_restauration,Appel d'offres ouvert,,,55204499202242,2023-12-22,8,20,6250,2500,0,
202423PF3302000,EPICERIE BIO,90000.0,vetements_travail,Appel d'offres ouvert,,,44236533400048,2023-12-21,50,200,1800,450,0,
2023010100760100,FOURNITURE D'UNE REMORQUE D'OCCASION POUR LE TRANSPORT ET LE REMPLISSAGE DE BENNES A USAGE DE DECHETERIE MOBILE,130000.0,telephonie,Procédure adaptée,,,20006635500013,2023-12-21,500,5000,260,26,0,
2023MAG233600100,EPI - VETEMENTS DE TRAVAIL,120000.0,vetements_travail,Appel d'offres ouvert,,,77559508500041,2023-12-21,50,200,2400,600,0,
2023MA23350100,CHANGEMENT DES EQUIPEMENTS CENTRAUX ET LOGICIEL DU SYSTEME D,206847.0,logiciels,Procédure adaptée,,,77566487303479,2023-12-21,500,10000,414,21,0,
20232023T450000,PROGICIEL ORPHÉE DE GESTION DU RESEAU DES MEDIATHEQUES,180000.0,logiciels,Marché négocié sans publicité ni mise en concurren,,,35384941700111,2023-12-21,500,10000,360,18,2,Sans mise en concurrence
2024-20200,Repas crèche,60000.0,alimentaire_restauration,Appel d'offres ouvert,,,51425596700044,2023-12-21,8,20,7500,3000,0,
202309_23L0900,Lot 09 - Viande de volaille fraiche,72000.0,alimentaire_restauration,Marché négocié sans publicité ni mise en concurren,,,44133059400017,2023-12-21,8,20,9000,3600,2,Sans mise en concurrence
249983073,Acquisition de 5 véhicules pour les besoins de la CIVIS.: Lot 3: Acquisition d'automobiles de segment B électriques,58341.0,telephonie,Procédure adaptée,1.0,,47967345100023,2023-12-21,500,5000,117,12,2,Fournisseur unique (1.0 offre)
20242023F2700100,DENREES ALIMENTAIRES SAUCISSERIE,40000.0,alimentaire_restauration,Procédure adaptée,,,34770600400038,2023-12-21,8,20,5000,2000,0,
