type_anomalie,id,objet,montant,codecpv,procedure,acheteur_id,acheteur_nom,titulaire_siret,date,offres_recues
Fournisseur unique,202312500,MAINTENANCE DU SYSTEME DE TELEALARME ET DE TELEGESTION DES ASCENSEURS DU PATRIMOINE DOMOFRANCE,2000000.0,50750000-7,Appel d'offres ouvert,45820496300029,,38988664900026,2023-11-27,1.0
Fournisseur unique,2446592,"Marchés de travaux pour la construction 30 logements collectifs et de leurs abords, répartis en deux bâtiments (18 logements + 1 CC en VEFA BAILLEUR e",1970796.0,45000000-7,Procédure adaptée,32791063400069,,37220051900018,2023-12-06,1.0
Sans concurrence,243230,"Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lots 58, 192, 416,, 425, 188,, 1451, 1582,",1917426.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,13002682600011,,38240122200064,2023-12-20,1.0
Sans concurrence,2023Z230615N0001,Z230615N00 LOT 2 : DOMMAGE AUX BIENS ET RISQUES ANNEXES,1631161.89,66510000-8,Marché négocié sans publicité ni mise en concurrence préalable,20005480700017,,83381722400029,2023-12-15,
Sans concurrence,2023Z230615N0000,Z230615N00 LOT 2 : DOMMAGE AUX BIENS ET RISQUES ANNEXES,1631161.89,66510000-8,Marché négocié sans publicité ni mise en concurrence préalable,20005480700017,,83381722400029,2023-12-15,
Sans concurrence,2023259410000,"23_2594_1_00 - Evolution, maintenance, assistance et prestations associées du système de gestion financière Grand Angle (GDA)",1600000.0,72267000-4,Marché négocié sans publicité ni mise en concurrence préalable,22910228000018,,70204275500554,2023-12-15,
Fournisseur unique,249926992,Entretien des espaces verts dans les différents parcs d'activités et dans les ouvrages annexes de Rives de Moselle - 2024-2027: Lot 2: Rive gauche,1600000.0,77310000-6,Appel d'offres ouvert,20003994900017,,91976799600029,2023-12-28,1.0
Sans concurrence,2023000000032500,ASSIST MAINT PRESTAT ACHAT MODULES PROGICIELS SOLIS SOLATIS,1500000.0,48000000-8,Marché négocié sans publicité ni mise en concurrence préalable,22560001400016,,38251931200088,2023-12-20,
Sans concurrence,2023170000,"Marché de maintenance et fourniture de dispositifs médicaux captifs pour les injecteurs de produit de contraste de marque ULRICH, incluant la fournitu",1500000.0,33100000-1,Marché négocié sans publicité ni mise en concurrence préalable,26310012500016,,83257566600025,2023-12-08,
Sans concurrence,20232606700,SOUSCRITION DES CONTRATS D ASSURANCES POUR LA VILLE DE HAGUENAU LOT 01 ASSURANCE DES DOMMAGES AUX BIENS ET DES RISQUES ANNEXES,1317416.13,66515000-3,Marché négocié sans publicité ni mise en concurrence préalable,21670180500014,,78439572500202,2023-12-01,
