id,objet,famille,type_marche,type_avis,procedure,acheteur,titulaire,departement,date_parution,url_avis
26_26525,Maintenance des installations techniques dans les bâtiments de la Métropole du Grand Nancy-.,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Métropole du Grand Nancy - Service Commande Publique,M CHERGUI RAOUF | KONE,54,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26525
26_26546,Recyclage d'ilots dégradés - 4 lots,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,LIMOGES METROPOLE - Communauté urbaine,AC ENVIRONNEMENT | MOSAIQUE INGENIERIE FRANCE | LE CREUSET MEDITERRANEE | Soliha | SYSLAW,87,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26546
26_26292,Prestations de bureaux d'études techniques dans le cadre d'opérations de travaux pour la Ville de Saint Herblain,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Mairie de St  Herblain,CETRAC | YAC INGENIERIE | FLEGON INGENIERIE,44,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26292
26_26240,PRESTATIONS DE SURETE EVENEMENTIELLE POUR LES BESOINS DE LA METROPOLE NICE COTE D'AZUR,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,METROPOLE NICE CÔTE D'AZUR,TAMARIS SARL,6,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26240
26_26242,"Actualisation du zonage d'eau usée et établissement du zonage d'eau pluviale sur le territoire de la Communauté d'Agglomération de Béthune-Bruay, Artois Lys Romane",Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,"Communauté d'agglomération de Béthune-Bruay, Artois Lys Romane",GROUPEMENT ARTELIA / V2R INGENIERIE ET ENVIRONNEMENT,62 | 59,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26242
26_26254,"Missions d'ordonnancement, de pilotage et de coordination des travaux pour les bâtiments des sites d'Avon, d'Émerainville et du siège de la CCI Seine-et-Marne situé à Serris",Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,CHAMBRE DE COMMERCE ET D’INDUSTRIE SEINE-ET-MARNE,ORGANISATION ET TECHNIQUE DE CONSTRUCTIONS IMMOBILIERES | PLANETE MANAGEMENT,77,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26254
26_26479,Travaux de signalisation horizontale sur la voirie métropolitaine-.,Marchés européens,TRAVAUX, | 10 | 6,Procédure Ouverte,Métropole du Grand Nancy - Service Commande Publique,AXIMUM - AXIMUM NANCY | SIGNATURE,54,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26479
26_26483,Assurance relative aux risques statutaires,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Gonfaron (83),YVELIN SAS,83,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26483
26_26492,Phase candidature - Accord cadre de maîtrise d'oeuvre et d'assistance à l'obtention des autorisations règlementaires pour l'extension du port de Limay-Porcheville,Marchés européens,SERVICES, | 10 | 6,Procédure Négociée,Grand port fluvio maritime de l'axe Seine - Direction territoriale de Paris,SAFEGE,75,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26492
26_26431,Assistance à maîtrise d'ouvrage dans le domaine de la performance énergétique des bâtiments sur les ports de HAROPA PORT | Paris,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Grand port fluvio maritime de l'axe Seine - Direction territoriale de Paris,EGIS CONSEIL,75,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26431
26_26433,Achat de charcuteries crues et cuites,Marchés européens,FOURNITURES, | 10 | 6,Procédure Ouverte,G.C.S.P.A - Groupement Coopération Sanitaire Pays d'Aix,POMONA,13,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26433
26_26674,Mission de contrôle technique et /ou mission annexe sur le patrimoine géré par la Région Normandie,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,REGION NORMANDIE - DIRECTION DES BATIMENTS REGIONAUX,QUALICONSULT | QUALICONSULT,14,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26674
26_26685,Marché de fournitures de denrées alimentaires,Marchés européens,FOURNITURES, | 10 | 6,Procédure Ouverte,COMMUNAUTE DE COMMUNES DE BAYEUX INTERCOM,ESPRI RESTAURATION | LE COEUR DES CHAMPS | Inter Bio Normandie Services,14,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26685
26_26716,Travaux d'étanchéité des ponts routiers du Département des Pyrénées-Orientales,Marchés européens,TRAVAUX, | 10 | 6,Procédure Ouverte,CONSEIL DEPARTEMENTAL DES PYRENEES-ORIENTALES,ROBERT CHARTIER APPLICATION,66,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26716
26_26152,"Fourniture et livraison de jeunes plants annuels, bisannuels, vivaces et semences pour la régie espaces verts de la Ville de Soisy-sous-Montmorency.",Marchés européens,FOURNITURES, | 10 | 6,Procédure Ouverte,COMMUNE DE SOISY-SOUS-MONTMORENCY,GRAINES VOLT,95,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26152
26_26161,Création d'une liaison cyclable n°1 entre Rochefort-sur-Loire et Savennières,Marchés européens,TRAVAUX, | 10 | 6,Procédure Ouverte,CC Loire Layon Aubance,TPPL TRAVAUX PUBLICS DES PAYS DE LA LOIRE,35 | 37 | 44 | 49 | 53 | 72 | 79 | 85 | 86,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26161
26_26327,Accord cadre pour l'achat et livraison de kits de fournitures scolaires à destination des collégiens des Bouches-du-Rhône - 4 lots,Marchés européens,FOURNITURES, | 10 | 6,Procédure Ouverte,DEPARTEMENT DES BOUCHES-DU-RHONE,CHARLEMAGNE | MILHE ET AVONS | NEOLOG,13,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26327
26_26407,Concours de maitrise d'oeuvre pour la réhabilitation et l'extension du musée intercommunal d'histoire et de société à Gonesse,Marchés européens,SERVICES, | 10 | 6,Procédure Restreinte,Agglomération Roissy Pays de France,Atelier Bruno GAUDIN Architectes (Mandataire),95,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26407
26_26220,"Mission d'Ordonnancement, de Pilotage et Coordination de chantier (O.P.C) pour la réhabilitation de l'Ex Polyclinique des portes du Jura à Montbéliard",Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,CA PAYS DE MONTBELIARD AGGLOMERATION,CETEC SAS,25,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26220
26_26224,"Géoréférencement des ouvrages d'eau potable, usée et pluviale",Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,"Communauté d'Agglomération de Béthune-Bruay, Artois Lys Romane",GEOSAT,62 | 59,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26224
26_26227,Acquisition d'un pilote d'extraction aux fluides supercritiques,Marchés européens,FOURNITURES, | 10 | 6,Procédure Ouverte,Université Bretagne Sud,SFE PROCESS,56 | 29 | 35 | 44 | 22 | 75,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26227
26_26252,EXPLOITATION ET MAINTENANCE DES INSTALLATIONS THERMIQUES - ECS - VENTILATION - CLIMATISATION,Marchés européens,SERVICES, | 10 | 6,Procédure Négociée,Mairie de Pamiers,TPF-TECHNIQUE PERFORMANCE FAISABILITE | TPF-TECHNIQUE PERFORMANCE FAISABILITE | ENGIE ENERGIE SERVICES,9,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26252
26_26307,Nouvelle Route du Littoral  : Marché n° 27 : Signalisation verticale,Marchés européens,TRAVAUX, | 10 | 6,Procédure Ouverte,Conseil Régional de la Réunion,SIGNATURE OCEAN INDIEN SAS,974,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26307
26_26634,Mission de maîtrise d’œuvre en conception et réalisation concernant des travaux sur les cours d’eau du bassin versant de la Libaude,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Métropole européenne de Lille,ARTELIA | PAYSAGES,59,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26634
26_26621,MAINTENANCE ET TRAVAUX D'ENTRETIEN DES EQUIPEMENTS D'AUTOMATISME ET DE SUPERVISION (GTC/GTB) DU CAMPUS PIERRE ET MARIE CURIE,Marchés européens,SERVICES, | 10 | 6,Procédure NC,Sorbonne Université,BTIB,75 | 77 | 78 | 91 | 92 | 93 | 94 | 95,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26621
