id,objet,montant,codecpv,procedure,offres_recues,acheteur_id,acheteur_nom,titulaire_siret,titulaire_nom,titulaire_activite,titulaire_effectifs,titulaire_commune,date,score_sous_enchere,raisons_score,economie_estimee_basse,economie_estimee_haute
24202306700,Concours Restreint de Maitrise d'oeuvre pour la Réalisation d'un ensemble immobilier et aménagements Avenue Anatole France sur la Commune de La Valett,2681137.0,71000000-8,Marché passé sans publicité ni mise en concurrence préalable,1.0,52323930900017,,32647672800034,,,,,2023-12-22,85,Sans concurrence (+15) | 1 seule offre (+15) | Montant accessible (+5),402171,938398
2023Z230614N0000,Z230614N00 LOT 1 ASSURANCE RESPONSABILITE CIVILE ET RISQUES ANNEXES,2386872.32,66510000-8,Marché négocié sans publicité ni mise en concurrence préalab,,20005480700017,,83381722400029,SMACL ASSURANCES SA,,41,NIORT,2023-12-26,85,Sans concurrence (+15) | Fournisseur captif 195 marches (+5) | 18 marches sans concurrence (+10) | Montant accessible (+5),358031,835405
2023M11700,ASSURANCE DOMMAGES AUX BIENS ET RISQUES ANNEXES,2075289.72,66515200-5,Marché négocié sans publicité ni mise en concurrence préalab,,21920026800015,,83381722400029,SMACL ASSURANCES SA,,41,NIORT,2023-12-28,85,Sans concurrence (+15) | Fournisseur captif 195 marches (+5) | 18 marches sans concurrence (+10) | Montant accessible (+5),311293,726351
2023Z230615N0001,Z230615N00 LOT 2 : DOMMAGE AUX BIENS ET RISQUES ANNEXES,1631161.89,66510000-8,Marché négocié sans publicité ni mise en concurrence préalab,,20005480700017,,83381722400029,SMACL ASSURANCES SA,,41,NIORT,2023-12-15,85,Sans concurrence (+15) | Fournisseur captif 195 marches (+5) | 18 marches sans concurrence (+10) | Montant accessible (+5),244674,570907
2023Z230615N0000,Z230615N00 LOT 2 : DOMMAGE AUX BIENS ET RISQUES ANNEXES,1631161.89,66510000-8,Marché négocié sans publicité ni mise en concurrence préalab,,20005480700017,,83381722400029,SMACL ASSURANCES SA,,41,NIORT,2023-12-15,85,Sans concurrence (+15) | Fournisseur captif 195 marches (+5) | 18 marches sans concurrence (+10) | Montant accessible (+5),244674,570907
2023000000032500,ASSIST MAINT PRESTAT ACHAT MODULES PROGICIELS SOLIS SOLATIS,1500000.0,48000000-8,Marché négocié sans publicité ni mise en concurrence préalab,,22560001400016,,38251931200088,ARCHE MC2 (MOBISERV : CITYZEN : MEDISYS),,32,AIX-EN-PROVENCE,2023-12-20,85,Sans concurrence (+15) | 3 marches sans concurrence (+10) | Categorie COTS (+5) | Montant accessible (+5),225000,525000
20232606700,SOUSCRITION DES CONTRATS D ASSURANCES POUR LA VILLE DE HAGUENAU LOT 01 ASSURANCE DES DOMMAGES AUX BIENS ET DES RISQUES ANNEXES,1317416.13,66515000-3,Marché négocié sans publicité ni mise en concurrence préalab,,21670180500014,,78439572500202,,,,,2023-12-01,85,Sans concurrence (+15) | Fournisseur captif 12 marches (+5) | 3 marches sans concurrence (+10) | Montant accessible (+5),197612,461096
20232700,PRESTATIONS DASSURANCES IARD DOMMAGES AUX BIENS,1089250.92,66515200-5,Marché négocié sans publicité ni mise en concurrence préalab,,21780586000012,,78439572500202,,,,,2023-12-27,85,Sans concurrence (+15) | Fournisseur captif 12 marches (+5) | 3 marches sans concurrence (+10) | Montant accessible (+5),163388,381238
2023A18100,MARCHE ASSURANCES - LOT 1 ASSURANCE DOMMAGES AUX BIENS,833735.75,66515200-5,Marché négocié sans publicité ni mise en concurrence préalab,,21940021500014,,83381722400029,SMACL ASSURANCES SA,,41,NIORT,2023-12-21,85,Sans concurrence (+15) | Fournisseur captif 195 marches (+5) | 18 marches sans concurrence (+10) | Montant accessible (+5),125060,291808
2023A18101,MARCHE ASSURANCES - LOT 1 ASSURANCE DOMMAGES AUX BIENS,833735.75,66515200-5,Marché négocié sans publicité ni mise en concurrence préalab,,21940021500014,,83381722400029,SMACL ASSURANCES SA,,41,NIORT,2023-12-21,85,Sans concurrence (+15) | Fournisseur captif 195 marches (+5) | 18 marches sans concurrence (+10) | Montant accessible (+5),125060,291808
